Codigo Pais;deaths month;deaths cumulative month;Cases month;cases cumulative month;month;year;year-month
BEL;6412;7390;34535;50019;4;2020;2020-4
BGR;48;56;954;1300;4;2020;2020-4
BIH;50;59;1164;1516;4;2020;2020-4
BLR;72;72;10369;10463;4;2020;2020-4
CHE;1079;1336;14704;28978;4;2020;2020-4
CYP;12;21;539;828;4;2020;2020-4
CZE;201;224;4591;7417;4;2020;2020-4
DEU;5921;6633;92889;156784;4;2020;2020-4
DNK;48;132;6353;9134;4;2020;2020-4
ESP;16569;25146;110839;219777;4;2020;2020-4
EST;48;121;935;6890;4;2020;2020-4
FIN;176;189;3279;4735;4;2020;2020-4
FRA;11477;14193;84240;124418;4;2020;2020-4
FRO;0;0;28;187;4;2020;2020-4
GBR;23079;26258;127575;156946;4;2020;2020-4
GEO;6;6;396;486;4;2020;2020-4
GGY;13;13;202;247;4;2020;2020-4
GIB;0;0;76;141;4;2020;2020-4
GRC;92;134;1236;2560;4;2020;2020-4
HRV;50;55;1373;2023;4;2020;2020-4
HUN;269;284;2132;2576;4;2020;2020-4
IMN;18;18;265;307;4;2020;2020-4
IRL;906;983;16483;19123;4;2020;2020-4
ISL;8;10;644;1806;4;2020;2020-4
ITA;15165;28795;96799;201784;4;2020;2020-4
JEY;17;19;218;281;4;2020;2020-4
LIE;1;1;17;82;4;2020;2020-4
LTU;35;53;155;155;4;2020;2020-4
LUX;58;75;1060;2899;4;2020;2020-4
LVA;13;13;466;813;4;2020;2020-4
MCO;1;1;30;65;4;2020;2020-4
MDA;94;96;3145;3408;4;2020;2020-4
MKD;55;61;1127;1386;4;2020;2020-4
MLT;4;4;297;445;4;2020;2020-4
MNE;6;7;236;321;4;2020;2020-4
NLD;3835;4912;26824;37566;4;2020;2020-4
NOR;173;193;2952;7586;4;2020;2020-4
POL;511;533;9692;11554;4;2020;2020-4
PRT;856;1006;16937;22384;4;2020;2020-4
ROU;585;668;9631;11641;4;2020;2020-4
RUS;739;747;79415;80949;4;2020;2020-4
SMR;17;41;309;538;4;2020;2020-4
SRB;143;156;7301;8042;4;2020;2020-4
SVK;20;21;1015;1363;4;2020;2020-4
SVN;77;90;646;1403;4;2020;2020-4
SWE;2318;2557;14924;18867;4;2020;2020-4
TUR;2674;2805;100859;110130;4;2020;2020-4
UKR;200;209;8199;8617;4;2020;2020-4
VAT;0;0;3;9;4;2020;2020-4
XKX;19;20;666;764;4;2020;2020-4
ALB;5;33;411;1137;5;2020;2020-5
AND;11;51;24;764;5;2020;2020-5
ARM;110;139;7684;9492;5;2020;2020-5
AUT;93;695;1371;16653;5;2020;2020-5
AZE;42;63;3849;5494;5;2020;2020-5
BEL;1933;9323;10871;60890;5;2020;2020-5
BGR;84;140;1213;2513;5;2020;2020-5
BIH;94;153;994;2510;5;2020;2020-5
BLR;163;235;32093;42556;5;2020;2020-5
CHE;320;1656;1801;30779;5;2020;2020-5
CYP;5;26;123;951;5;2020;2020-5
CZE;94;318;1886;9303;5;2020;2020-5
DEU;2146;8779;25250;182034;5;2020;2020-5
DNK;51;183;2836;11970;5;2020;2020-5
ESP;4025;29171;26870;246647;5;2020;2020-5
EST;14;135;222;7112;5;2020;2020-5
FIN;124;313;1905;6640;5;2020;2020-5
FRA;4325;18518;22262;146680;5;2020;2020-5
FRO;0;0;0;187;5;2020;2020-5
GBR;11961;38219;99496;256442;5;2020;2020-5
GEO;6;12;297;783;5;2020;2020-5
GGY;0;13;5;252;5;2020;2020-5
GIB;0;0;28;169;5;2020;2020-5
GRC;45;179;401;2961;5;2020;2020-5
HRV;48;103;216;2239;5;2020;2020-5
HUN;244;528;1311;3887;5;2020;2020-5
IMN;6;24;29;336;5;2020;2020-5
IRL;439;1422;5842;24965;5;2020;2020-5
ISL;0;10;14;1820;5;2020;2020-5
ITA;5419;34214;31684;233468;5;2020;2020-5
JEY;10;29;27;308;5;2020;2020-5
LIE;0;1;0;82;5;2020;2020-5
LTU;24;77;343;498;5;2020;2020-5
LUX;15;90;55;2954;5;2020;2020-5
LVA;12;25;253;1066;5;2020;2020-5
MCO;0;1;2;67;5;2020;2020-5
MDA;199;295;4843;8251;5;2020;2020-5
MKD;72;133;840;2226;5;2020;2020-5
MLT;5;9;170;615;5;2020;2020-5
MNE;2;9;3;324;5;2020;2020-5
NLD;1139;6051;8630;46196;5;2020;2020-5
NOR;43;236;852;8438;5;2020;2020-5
POL;530;1063;12230;23784;5;2020;2020-5
