 Pais;deaths month;deaths cumulative month;Cases month;cases cumulative month;month;year;year-month;Inflation Rate;inmigracion
Kosovo;1;1;85;98;3;2020;2020-3;;
Latvia;0;0;347;347;3;2020;2020-3;0.1;
Liechtenstein;0;0;65;65;3;2020;2020-3;;
Lithuania;18;18;0;0;3;2020;2020-3;1.1;
Luxembourg;17;17;1839;1839;3;2020;2020-3;0.0;
Malta;0;0;148;148;3;2020;2020-3;0.8;
Moldova;2;2;240;263;3;2020;2020-3;;
Monaco;0;0;35;35;3;2020;2020-3;;
Montenegro;1;1;64;85;3;2020;2020-3;;
Netherlands;1077;1077;10742;10742;3;2020;2020-3;1.1;
North Macedonia;6;6;259;259;3;2020;2020-3;1.2;
Norway;20;20;4633;4634;3;2020;2020-3;1.2;
Poland;22;22;1862;1862;3;2020;2020-3;3.7;
Portugal;150;150;5446;5447;3;2020;2020-3;-0.1;
Romania;83;83;2010;2010;3;2020;2020-3;2.3;
Russia;8;8;1532;1534;3;2020;2020-3;;
San Marino;24;24;229;229;3;2020;2020-3;;
Serbia;13;13;686;741;3;2020;2020-3;1.8;
Slovakia;1;1;348;348;3;2020;2020-3;2.0;
Slovenia;13;13;757;757;3;2020;2020-3;-0.3;
Spain;8576;8577;108919;108938;3;2020;2020-3;-0.3;
Sweden;239;239;3943;3943;3;2020;2020-3;0.7;
Switzerland;257;257;14274;14274;3;2020;2020-3;-0.8;
Turkey;131;131;9253;9271;3;2020;2020-3;12.3;
Ukraine;9;9;415;418;3;2020;2020-3;;
United Kingdom;3179;3179;29356;29371;3;2020;2020-3;0.8;
Albania;18;28;514;726;4;2020;2020-4;;
Andorra;34;40;406;740;4;2020;2020-4;;
Armenia;26;29;1326;1808;4;2020;2020-4;;
Austria;468;602;6086;15282;4;2020;2020-4;1.4;
Azerbaijan;17;21;1436;1645;4;2020;2020-4;;
Belarus;72;72;10369;10463;4;2020;2020-4;;
Belgium;6412;7390;34535;50019;4;2020;2020-4;0.4;
Bosnia And Herzegovina;50;59;1164;1516;4;2020;2020-4;;
Bulgaria;48;56;954;1300;4;2020;2020-4;1.2;
Croatia;50;55;1373;2023;4;2020;2020-4;0.0;
Cyprus;12;21;539;828;4;2020;2020-4;-1.1;
Czechia;201;224;4591;7417;4;2020;2020-4;3.3;
Denmark;48;132;6353;9134;4;2020;2020-4;0.3;
Estonia;48;121;935;6890;4;2020;2020-4;-0.6;
Faroe Islands;0;0;28;187;4;2020;2020-4;;
Finland;176;189;3279;4735;4;2020;2020-4;0.4;
France;11477;14193;84240;124418;4;2020;2020-4;0.5;
Georgia;6;6;396;486;4;2020;2020-4;;
Germany;5921;6633;92889;156784;4;2020;2020-4;0.4;
Gibraltar;0;0;76;141;4;2020;2020-4;;
Greece;92;134;1236;2560;4;2020;2020-4;-1.3;
Guernsey;13;13;202;247;4;2020;2020-4;;
Holy See;0;0;3;9;4;2020;2020-4;;
Hungary;269;284;2132;2576;4;2020;2020-4;3.4;
Iceland;8;10;644;1806;4;2020;2020-4;1.2;
Ireland;906;983;16483;19123;4;2020;2020-4;-0.5;
Isle Of Man;18;18;265;307;4;2020;2020-4;;
Italy;15165;28795;96799;201784;4;2020;2020-4;-0.1;
Jersey;17;19;218;281;4;2020;2020-4;;
Kosovo;19;20;666;764;4;2020;2020-4;;
Latvia;13;13;466;813;4;2020;2020-4;0.1;
Liechtenstein;1;1;17;82;4;2020;2020-4;;
Lithuania;35;53;155;155;4;2020;2020-4;1.1;
Luxembourg;58;75;1060;2899;4;2020;2020-4;0.0;
Malta;4;4;297;445;4;2020;2020-4;0.8;
Moldova;94;96;3145;3408;4;2020;2020-4;;
Monaco;1;1;30;65;4;2020;2020-4;;
Montenegro;6;7;236;321;4;2020;2020-4;;
Netherlands;3835;4912;26824;37566;4;2020;2020-4;1.1;
North Macedonia;55;61;1127;1386;4;2020;2020-4;1.2;
Norway;173;193;2952;7586;4;2020;2020-4;1.2;
Poland;511;533;9692;11554;4;2020;2020-4;3.7;
Portugal;856;1006;16937;22384;4;2020;2020-4;-0.1;
Romania;585;668;9631;11641;4;2020;2020-4;2.3;
Russia;739;747;79415;80949;4;2020;2020-4;;
